📺央视频道,#genre#
CGTN纪录,http://39.134.65.215/PLTV/88888888/224/3221225509/1.m3u8
CGTN纪录,http://39.134.65.239/PLTV/88888888/224/3221225509/1.m3u8
CGTN纪录,http://39.134.65.243/PLTV/88888888/224/3221225509/1.m3u8
CGTN纪录,http://39.134.65.245/PLTV/88888888/224/3221225509/1.m3u8
CGTN纪录,http://39.134.65.247/PLTV/88888888/224/3221225509/1.m3u8
CGTN纪录,http://39.134.65.249/PLTV/88888888/224/3221225509/1.m3u8
CGTN纪录,http://39.134.65.251/PLTV/88888888/224/3221225509/1.m3u8
CGTN纪录,http://39.134.67.108/PLTV/88888888/224/3221225509/1.m3u8
CGTN英语,https://0472.org/hls/cgtn.m3u8
CGTN法语,http://39.134.67.110/PLTV/88888888/224/3221226083/1.m3u8
CGTN法语,https://francais-livews.cgtn.com/hls/LSvev95OuFZtKLc6CeKEFYXj220802LSTeV6PO0Ut9r71Uq3k5goCA220802cd/playlist.m3u8
CGTN法语,https://0472.org/hls/cgtnf.m3u8
CGTN法语,http://39.134.67.110/PLTV/88888888/224/3221226083/1.m3u8
CGTN法语,https://francais-livews.cgtn.com/hls/LSvev95OuFZtKLc6CeKEFYXj220802LSTeV6PO0Ut9r71Uq3k5goCA220802cd/playlist.m3u8
CGTN法语,https://0472.org/hls/cgtnx.m3u8
CGTN法语,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000355/index.m3u8
CGTN法语,http://espanol-liveali.cgtn.com/hls/LSveOGBaBw41Ea7ukkVAUdKQ220802LSTexu6xAuFH8VZNBLE1ZNEa220802cd.m3u8
CGTN西语,http://39.134.67.110/PLTV/88888888/224/3221226094/1.m3u8
CGTN西语,https://espanol-livews.cgtn.com/hls/LSveOGBaBw41Ea7ukkVAUdKQ220802LSTexu6xAuFH8VZNBLE1ZNEa220802cd/playlist.m3u8
CGTN西语,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000354/index.m3u8
CGTN阿语,http://39.134.67.110/PLTV/88888888/224/3221226081/1.m3u8
CGTN阿语,https://arabic-livews.cgtn.com/hls/LSveq57bErWLinBnxosqjisZ220802LSTefTAS9zc9mpU08y3np9TH220802cd/playlist.m3u8
